Data,Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM2.5 [jednostka ug/m3]),Katowice - ul. Kossutha (pył zawieszony PM10 [jednostka ug/m3])
2024-10-26,56.98,42.58,27.20,48.14,
2024-10-27,49.05,33.86,21.70,44.24,
2024-10-28,38.07,20.01,10.80,25.39,
2024-10-29,40.51,20.22,12.40,24.49,
2024-10-30,42.47,16.23,8.10,28.98,
2024-10-31,25.14,15.26,7.20,18.71,
2024-11-01,22.39,7.87,2.30,21.60,
2024-11-02,20.12,19.04,13.20,15.32,
2024-11-03,36.96,20.29,15.70,33.01,
2024-11-04,33.22,9.81,7.40,32.93,
2024-11-05,37.82,30.59,20.70,31.30,
2024-11-06,42.59,29.05,18.70,47.40,
2024-11-07,83.35,37.83,25.60,86.27,
2024-11-08,51.18,39.25,25.10,34.19,
2024-11-09,34.18,36.79,22.70,27.70,
2024-11-10,35.76,37.68,22.20,38.12,
2024-11-11,51.91,33.25,22.50,57.74,
2024-11-12,34.67,42.55,33.20,42.22,
2024-11-13,30.66,39.92,30.90,25.77,
2024-11-14,24.60,11.64,8.80,27.28,
2024-11-15,33.56,18.66,15.80,26.17,
2024-11-16,46.34,50.38,41.80,26.98,
2024-11-17,41.54,32.48,28.50,27.61,
2024-11-18,14.97,6.92,6.60,21.43,
2024-11-19,38.17,8.79,8.30,21.99,
2024-11-20,18.84,7.42,6.90,18.00,
2024-11-21,18.12,18.20,14.50,16.87,
2024-11-22,26.68,14.10,12.10,26.95,
2024-11-23,23.55,21.07,18.40,19.65,
2024-11-24,38.22,49.73,41.50,11.73,
2024-11-25,66.13,43.93,33.10,22.01,
2024-11-26,52.85,28.87,22.10,27.73,
2024-11-27,32.10,26.77,22.70,36.07,
2024-11-28,29.06,12.85,12.90,18.84,
2024-11-29,14.88,10.87,10.40,18.52,
2024-11-30,30.82,16.64,16.00,27.89,
